Name,Year,Salary
Justin Abdelkader,2009,710000
Justin Abdelkader,2010,750000
Justin Abdelkader,2011,825000
Justin Abdelkader,2012,819512
Justin Abdelkader,2013,1550000
Justin Abdelkader,2014,2000000
Justin Abdelkader,2015,2250000
Justin Abdelkader,2016,5500000
Justin Abdelkader,2017,5000000
Justin Abdelkader,2018,5000000
Justin Abdelkader,2019,4750000
Justin Abdelkader,2020,1055556
Justin Abdelkader,2021,1055556
Justin Abdelkader,2022,1055556
Justin Abdelkader,2023,1055556
Justin Abdelkader,2024,1055556
Justin Abdelkader,2025,1055556
Pontus Aberg,2017,650000
Pontus Aberg,2018,650000
Pontus Aberg,2020,608000
Pontus Aberg,2021,750000
Noel Acciari,2017,700000
Noel Acciari,2018,750000
Noel Acciari,2019,2000000
Noel Acciari,2020,1500000
Noel Acciari,2021,1500000
Noel Acciari,2022,1250000
